1,8944,3221,2,975.84,487.92
2,873,8409,4,13041.76,3260.44
3,648,4924,3,13468.14,4489.38
4,4396,927,1,1310.19,1310.19
5,4031,2858,3,5108.58,1702.86
6,7427,9597,1,1286.16,1286.16
7,543,5042,4,3143.68,785.92
8,7201,9546,4,11447.44,2861.86
9,6207,52,2,658.96,329.48
10,1487,9041,5,7146.95,1429.39
11,5153,8755,3,8586.9,2862.3
12,9453,9329,2,9537.98,4768.99
13,9507,8218,1,4657.27,4657.27
14,2692,73,2,505.28,252.64
15,8381,8513,2,1232.1,616.05
16,1668,3051,3,5352.12,1784.04
17,5889,5510,4,13013.96,3253.49
18,5052,8659,1,4571.54,4571.54
19,7114,7742,3,2540.85,846.95
20,3499,8308,2,2102.16,1051.08
21,7123,2836,2,5019.0,2509.5
22,8648,7069,4,9480.28,2370.07
23,8793,3482,2,354.46,177.23
24,3148,9321,3,7795.86,2598.62
25,8076,3624,4,16078.68,4019.67
26,6282,3846,4,8402.36,2100.59
27,4961,7014,3,817.53,272.51
28,9354,8990,3,4060.47,1353.49
29,2597,8286,4,18931.32,4732.83
30,7465,6225,5,8299.95,1659.99
31,5006,6599,1,659.9,659.9
32,7484,294,3,4634.13,1544.71
33,2370,4111,2,8725.92,4362.96
34,5153,2097,1,4996.61,4996.61
35,6167,3121,3,12808.17,4269.39
36,7728,1869,2,5172.5,2586.25
37,3908,7443,2,5613.1,2806.55
38,9953,512,3,6312.33,2104.11
39,6172,6538,1,2696.07,2696.07
40,5980,4920,1,3759.95,3759.95
41,3309,9814,3,5060.7,1686.9
42,4631,7524,2,9829.02,4914.51
43,1183,4104,3,10047.6,3349.2
44,9531,8582,1,3177.15,3177.15
45,3087,8585,2,8772.08,4386.04
46,6772,1381,4,9879.88,2469.97
47,3214,5114,5,17271.7,3454.34
48,9967,98,1,3506.9,3506.9
49,2949,8035,3,6435.48,2145.16
50,1504,115,5,24681.0,4936.2
51,5047,7576,5,11679.85,2335.97
52,7832,3997,4,4252.16,1063.04
53,6233,2133,2,7780.94,3890.47
54,9312,6591,2,1168.58,584.29
55,6861,9158,5,2818.75,563.75
56,2252,5059,3,5381.01,1793.67
57,9468,7853,3,12841.2,4280.4
58,5253,212,1,4664.39,4664.39
59,6240,5275,3,13625.4,4541.8
60,8160,3285,1,4234.4,4234.4
61,9911,2429,5,5643.75,1128.75
62,3310,5244,1,4856.76,4856.76
63,7634,1011,1,908.89,908.89
64,5769,5563,3,2432.97,810.99
65,4717,2041,3,54.72,18.24
66,1593,1692,3,11312.34,3770.78
67,1027,3351,3,768.93,256.31
68,8349,8970,1,3959.77,3959.77
69,376,7651,5,7253.8,1450.76
70,4013,4861,3,8786.79,2928.93
71,5407,8719,3,1355.01,451.67
72,2986,7795,3,12333.39,4111.13
